Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,MoSold,YrSold,SaleType,SalePrice,totalSF,psf
2910,160,Residential(MD),41,2665,Meadow Village,Townhouse End Unit,2Story,5,6,1977,1977,757.0,925,550,1475,4,6,7,2006,WD ,127000,2232.0,56
21,20,Residential(LD),105,11751,Northwest Ames,Single-family Detached,1Story,6,6,1977,1977,1844.0,1844,0,1844,3,7,1,2010,COD,190000,3688.0,51
1873,20,Residential(LD),80,9600,Northwest Ames,Single-family Detached,1Story,7,6,1973,1973,1242.0,1242,0,1242,3,6,9,2007,WD ,175500,2484.0,70
2125,20,Residential(LD),60,8428,College Creek,Single-family Detached,1Story,5,7,1994,1994,990.0,990,0,990,3,5,7,2007,WD ,146000,1980.0,73
1489,20,Residential(LD),75,9937,Edwards,Single-family Detached,1Story,5,6,1965,1965,1256.0,1256,0,1256,3,6,6,2008,WD ,147500,2512.0,58
2383,20,Residential(LD),107,13891,Northridge Heights,Single-family Detached,1Story,10,5,2006,2006,2076.0,2076,0,2076,2,7,9,2006,New,465000,4152.0,111
983,85,Residential(LD),67,9101,Mitchell,Single-family Detached,SFoyer,5,6,1978,1978,1097.0,1110,0,1110,1,4,7,2009,WD ,165500,2207.0,74
1325,50,Residential(MD),81,12150,Old Town,Single-family Detached,1.5Fin,5,5,1954,1954,1050.0,1050,745,1795,4,7,11,2008,WD ,131500,2845.0,46
1378,20,Residential(LD),70,11200,Sawyer,Single-family Detached,1Story,5,5,1965,1965,1040.0,1040,0,1040,3,5,2,2008,WD ,129500,2080.0,62
1537,70,Residential(LD),100,9670,Crawford,Single-family Detached,2Story,8,6,1935,1950,608.0,983,890,1873,4,9,6,2008,WD ,257076,2481.0,103
905,50,Residential(LD),60,10998,Edwards,Single-family Detached,1.5Fin,5,5,1941,1960,984.0,984,620,1604,3,6,7,2009,WD ,117000,2588.0,45
1532,70,Residential(LD),60,7200,Crawford,Single-family Detached,2Story,7,6,1931,2000,776.0,851,651,1502,3,6,2,2008,WD ,149000,2278.0,65
132,20,Residential(LD),80,9920,North Ames,Single-family Detached,1Story,5,5,1954,1954,1056.0,1063,0,1063,3,6,2,2010,WD ,128000,2119.0,60
1078,160,Residential(LD),36,2448,Northridge Heights,Townhouse Inside Unit,2Story,7,5,2003,2004,764.0,764,862,1626,2,6,10,2008,WD ,155000,2390.0,64
2511,160,Floating Village,49,2998,Somerset,Townhouse End Unit,2Story,6,5,2000,2000,756.0,768,756,1524,2,4,6,2006,WD ,166000,2280.0,72
912,50,Residential(LD),65,7804,SW Iowa State University,Single-family Detached,1.5Fin,4,3,1928,1950,1122.0,1328,653,1981,4,7,12,2009,WD ,135000,3103.0,43
2351,60,Residential(LD),80,16692,Northwest Ames,Single-family Detached,2Story,7,5,1978,1978,1392.0,1392,1392,2784,5,12,7,2006,WD ,250000,4176.0,59
330,160,Residential(MD),21,1476,Meadow Village,Townhouse Inside Unit,2Story,4,7,1970,1970,546.0,546,546,1092,3,5,3,2010,WD ,76000,1638.0,46
2586,20,Residential(LD),75,10170,North Ames,Single-family Detached,1Story,6,6,1951,1951,216.0,1575,0,1575,2,5,6,2006,WD ,155000,1791.0,86
224,60,Residential(LD),80,9364,Sawyer,Single-family Detached,2Story,6,7,1969,1969,663.0,663,689,1352,4,7,3,2010,WD ,158000,2015.0,78
98,160,Floating Village,24,2544,Somerset,Townhouse Inside Unit,2Story,7,5,2004,2005,600.0,600,600,1200,2,4,2,2010,WD ,149500,1800.0,83
2565,20,Residential(LD),82,9888,North Ames,Single-family Detached,1Story,5,6,1954,1975,936.0,936,0,936,2,5,3,2006,WD ,121000,1872.0,64
1934,20,Residential(LD),68,7942,North Ames,Single-family Detached,1Story,6,7,1953,1953,1040.0,1040,0,1040,3,6,6,2007,WD ,136000,2080.0,65
997,60,Residential(LD),77,15038,Gilbert,Single-family Detached,2Story,6,5,1996,1996,916.0,916,720,1636,3,7,11,2008,WD ,173000,2552.0,67
64,60,Residential(LD),92,11764,Northridge,Single-family Detached,2Story,8,7,1999,2007,1152.0,1164,1106,2270,4,9,4,2010,WD ,290000,3422.0,84
1799,60,Floating Village,75,9000,Somerset,Single-family Detached,2Story,8,5,2007,2007,1184.0,1184,1426,2610,4,11,8,2007,New,303477,3794.0,79
230,20,Residential(LD),96,20062,Clear Creek,Single-family Detached,1Story,7,7,1977,2001,1420.0,1483,0,1483,1,4,4,2010,WD ,270000,2903.0,93
1295,50,Residential(MD),81,7308,Old Town,Single-family Detached,1.5Fin,5,5,1920,1950,936.0,960,780,1740,2,6,6,2008,WD ,122250,2676.0,45
638,20,Residential(LD),70,8750,North Ames,Single-family Detached,1Story,5,5,1955,1955,1382.0,1382,0,1382,3,6,7,2009,WD ,153000,2764.0,55
2278,20,Residential(LD),70,8402,Mitchell,Single-family Detached,1Story,5,5,2007,2007,1120.0,1120,0,1120,3,6,12,2007,New,147000,2240.0,65
2202,70,Residential(LD),63,4000,Crawford,Single-family Detached,2Story,7,8,1930,1995,531.0,567,531,1098,2,5,6,2007,WD ,148500,1629.0,91
2833,160,Residential(MD),32,3363,Edwards,Townhouse End Unit,2Story,7,5,2004,2004,976.0,976,732,1708,3,7,4,2006,WD ,130000,2684.0,48
1707,20,Residential(LD),94,13615,Northridge Heights,Single-family Detached,1Story,9,5,2006,2006,1802.0,1802,0,1802,3,7,6,2007,WD ,372000,3604.0,103
2428,120,Residential(LD),43,3013,Bloomington Heights,Townhouse End Unit,1Story,7,5,2005,2005,1362.0,1506,0,1506,2,6,4,2006,WD ,213490,2868.0,74
242,20,Residential(LD),44,17485,Edwards,Single-family Detached,1Story,7,5,2009,2010,1508.0,1508,0,1508,1,5,1,2010,Con,308030,3016.0,102
1564,20,Residential(LD),111,23730,Mitchell,Single-family Detached,1Story,7,5,1996,1997,1840.0,2032,0,2032,3,7,9,2008,WD ,300000,3872.0,77
2613,20,Residential(LD),79,8910,North Ames,Single-family Detached,1Story,6,6,1959,1959,655.0,1194,0,1194,3,6,7,2006,WD ,159500,1849.0,86
2832,160,Residential(MD),24,2522,Edwards,Townhouse Inside Unit,2Story,7,5,2004,2004,970.0,970,739,1709,3,7,4,2006,WD ,137500,2679.0,51
2459,20,Residential(LD),73,8688,Somerset,Single-family Detached,1Story,7,5,2005,2005,1616.0,1616,0,1616,3,7,4,2006,WD ,232000,3232.0,71
1360,30,Residential(MD),56,6291,Iowa DOT and Rail Road,Single-family Detached,1Story,6,6,1930,1950,768.0,768,0,768,1,4,7,2008,WD ,93850,1536.0,61
2723,30,Residential(LD),81,17529,Sawyer,Single-family Detached,1Story,5,5,1924,1950,872.0,872,0,872,2,5,4,2006,WD ,105000,1744.0,60
1350,30,Residential(MD),60,6324,Brookside,Single-family Detached,1Story,4,6,1927,1950,520.0,520,0,520,1,4,5,2008,WD ,68500,1040.0,65
136,90,Residential(LD),80,11600,North Ames,Duplex,2Story,5,5,1960,1960,1105.0,1105,1169,2274,5,12,1,2010,WD ,154300,3379.0,45
2235,50,Residential(MD),50,7288,Iowa DOT and Rail Road,Single-family Detached,1.5Fin,5,7,1925,2003,936.0,936,665,1601,3,6,9,2007,WD ,129850,2537.0,51
1993,70,Residential(MD),35,4571,Old Town,Single-family Detached,2Story,5,7,1910,1950,616.0,616,616,1232,3,6,6,2007,WD ,114000,1848.0,61
367,20,Residential(LD),63,17423,Stone Brook,Single-family Detached,1Story,9,5,2008,2009,2216.0,2234,0,2234,1,9,7,2009,New,501837,4450.0,112
1309,50,Residential(MD),100,12665,Old Town,Single-family Detached,1.5Fin,5,8,1915,1950,876.0,876,540,1416,4,7,6,2008,WD ,153900,2292.0,67
402,20,Residential(LD),60,9000,North Ames,Single-family Detached,1Story,4,7,1971,2006,864.0,864,0,864,3,5,7,2009,WD ,130000,1728.0,75
1592,120,Residential(MD),32,4500,Mitchell,Townhouse End Unit,1Story,6,5,1997,1997,1189.0,1189,0,1189,2,4,4,2008,WD ,160500,2378.0,67
2409,120,Residential(LD),48,6373,Northridge Heights,Townhouse End Unit,1Story,9,5,2006,2006,1666.0,1666,0,1666,2,6,6,2006,New,310090,3332.0,93
539,20,Residential(LD),67,10083,Sawyer West,Single-family Detached,1Story,7,5,2003,2003,1176.0,1200,0,1200,2,5,8,2009,WD ,184900,2376.0,77
1940,20,Residential(LD),70,13300,North Ames,Single-family Detached,1Story,5,7,1956,2000,928.0,928,0,928,2,4,6,2007,WD ,132000,1856.0,71
588,20,Residential(LD),80,9600,Northwest Ames,Single-family Detached,1Story,5,5,1969,1969,1288.0,1336,0,1336,3,6,8,2009,WD ,163000,2624.0,62
96,160,Floating Village,30,3215,Somerset,Townhouse End Unit,2Story,7,5,2004,2004,600.0,600,600,1200,2,4,4,2010,ConLD,155000,1800.0,86
1187,80,Residential(LD),76,11104,Northwest Ames,Single-family Detached,SLvl,6,6,1969,1969,1427.0,1427,0,1427,4,7,5,2008,WD ,183000,2854.0,64
2154,60,Residential(LD),82,15295,College Creek,Single-family Detached,2Story,7,5,1996,2002,860.0,1212,780,1992,3,7,6,2007,WD ,211000,2852.0,73
550,60,Residential(LD),70,9109,Sawyer West,Single-family Detached,2Story,7,5,1994,1994,754.0,754,786,1540,3,6,10,2009,WD ,184000,2294.0,80
811,90,Residential(LD),64,7018,Sawyer West,Duplex,1Story,5,5,1979,1979,0.0,1535,0,1535,4,8,6,2009,WD ,118858,1535.0,77
124,80,Residential(LD),78,14112,North Ames,Single-family Detached,SLvl,5,7,1964,1964,1152.0,1152,0,1152,3,6,4,2010,WD ,180500,2304.0,78
1836,120,Floating Village,80,3523,Somerset,Townhouse End Unit,1Story,8,5,2006,2007,1141.0,1151,0,1151,2,5,2,2007,New,166000,2292.0,72
779,80,Residential(LD),88,15312,Sawyer,Single-family Detached,SLvl,6,5,1960,1960,1138.0,1138,0,1138,3,6,3,2009,COD,148000,2276.0,65
1886,20,Residential(LD),74,7450,North Ames,Single-family Detached,1Story,5,5,1956,1956,894.0,1074,0,1074,2,6,1,2007,WD ,124000,1968.0,63
1724,120,Residential(LD),60,7313,Northridge Heights,Townhouse End Unit,1Story,9,5,2005,2005,1561.0,1561,0,1561,2,6,8,2007,WD ,277500,3122.0,88
2450,60,Residential(LD),83,10019,Northridge,Single-family Detached,2Story,8,5,1995,1995,1342.0,1358,1368,2726,4,9,6,2006,WD ,350000,4068.0,86
1013,20,Residential(LD),53,15401,Stone Brook,Single-family Detached,1Story,9,5,2004,2004,1884.0,1884,0,1884,2,7,9,2008,WD ,387000,3768.0,102
2084,30,Residential(LD),58,9098,Edwards,Single-family Detached,1Story,4,7,1920,2002,528.0,605,0,605,2,5,7,2007,WD ,86000,1133.0,75
1184,20,Residential(LD),103,16280,Veenker,Single-family Detached,1Story,8,9,1976,2007,1426.0,1671,0,1671,3,6,5,2008,WD ,290000,3097.0,93
728,30,,72,9392,Iowa DOT and Rail Road,Single-family Detached,1Story,3,3,1900,1950,245.0,797,0,797,2,5,9,2009,WD ,44000,1042.0,42
950,60,Residential(LD),71,12209,Mitchell,Single-family Detached,2Story,6,5,2001,2002,804.0,804,1157,1961,3,7,6,2009,WD ,215000,2765.0,77
2524,190,Residential(LD),79,13110,Northwest Ames,Two-family_Conversion,1Story,5,6,1972,1972,1153.0,1193,0,1193,2,6,7,2006,WD ,146500,2346.0,62
2513,160,Floating Village,47,2651,Somerset,Townhouse Inside Unit,2Story,7,5,2000,2000,673.0,673,709,1382,3,6,4,2006,WD ,165000,2055.0,80
2028,50,Residential(MD),60,8520,Old Town,Single-family Detached,1.5Fin,6,7,1916,1950,714.0,1664,862,2526,5,10,8,2007,CWD,136000,3240.0,41
2309,20,Residential(LD),135,39384,North Ames,Single-family Detached,1Story,6,6,1957,1957,1705.0,1390,0,1390,1,4,10,2006,WD ,252000,3095.0,81
51,160,Residential(LD),36,2628,Northridge Heights,Townhouse Inside Unit,2Story,7,5,2003,2003,764.0,764,862,1626,2,6,6,2010,WD ,175500,2390.0,73
699,70,Residential(MD),57,6406,Old Town,Single-family Detached,2Story,5,6,1939,1950,690.0,868,690,1558,3,7,10,2009,WD ,150000,2248.0,66
1881,20,Residential(LD),78,12342,North Ames,Single-family Detached,1Story,5,5,1960,1978,978.0,1422,0,1422,3,6,8,2007,WD ,139900,2400.0,58
1345,50,Residential(MD),52,6240,Brookside,Single-family Detached,1.5Fin,5,7,1930,1992,1078.0,1128,445,1573,3,8,6,2008,WD ,162900,2651.0,61
166,20,Residential(LD),87,10000,North Ames,Single-family Detached,1Story,6,6,1962,1962,1116.0,1116,0,1116,3,5,2,2010,WD ,160000,2232.0,71
781,20,Residential(LD),60,9000,Sawyer,Single-family Detached,1Story,2,2,1947,1950,0.0,660,0,660,2,5,6,2009,WD ,63900,660.0,96
379,20,Residential(LD),80,11088,Northwest Ames,Single-family Detached,1Story,6,5,1978,1998,1140.0,1707,0,1707,3,7,5,2009,WD ,184000,2847.0,64
2818,20,Residential(LD),134,17755,Edwards,Single-family Detached,1Story,5,4,1959,1959,1466.0,1466,0,1466,3,6,11,2006,WD ,149900,2932.0,51
1168,120,Floating Village,65,4765,Somerset,Townhouse End Unit,1Story,9,5,2000,2000,1614.0,1638,0,1638,2,5,7,2008,WD ,300000,3252.0,92
1396,190,Residential(LD),79,10532,Clear Creek,Single-family Detached,1Story,5,3,1960,1960,988.0,1721,0,1721,3,7,12,2008,WD ,145000,2709.0,53
838,60,Residential(LD),65,15426,College Creek,Single-family Detached,2Story,6,5,1997,1997,928.0,928,836,1764,3,7,8,2009,WD ,231500,2692.0,85
1492,30,Residential(LD),63,13907,Edwards,Single-family Detached,1Story,5,6,1940,1969,996.0,996,0,996,3,6,7,2008,WD ,108000,1992.0,54
637,20,Residential(LD),70,8750,North Ames,Single-family Detached,1Story,5,5,1956,1956,1202.0,1202,0,1202,3,6,11,2009,COD,120000,2404.0,49
1826,20,Residential(LD),67,9945,Sawyer,Single-family Detached,1Story,5,5,1961,1961,988.0,988,0,988,3,5,10,2007,WD ,128500,1976.0,65
173,30,Residential(MD),56,8960,Old Town,Single-family Detached,1Story,5,6,1927,1950,1008.0,1028,0,1028,2,5,3,2010,WD ,115000,2036.0,56
715,50,Residential(MD),50,3500,Old Town,Single-family Detached,1.5Fin,5,7,1947,1950,720.0,720,564,1284,2,5,4,2009,WD ,110000,2004.0,54
1183,60,Residential(LD),107,24572,Veenker,Single-family Detached,2Story,9,3,1977,1977,994.0,1599,1345,2944,3,9,6,2008,WD ,150000,3938.0,38
2433,60,Residential(LD),74,9056,Gilbert,Single-family Detached,2Story,8,5,2004,2004,707.0,707,707,1414,3,6,10,2006,WD ,178000,2121.0,83
2866,70,Residential(LD),70,12320,Crawford,Single-family Detached,2Story,7,7,1932,1990,637.0,959,650,1609,3,8,5,2006,WD ,199500,2246.0,88
2311,60,Residential(LD),60,8238,Gilbert,Single-family Detached,2Story,6,5,1997,1998,813.0,813,712,1525,3,6,5,2006,WD ,183500,2338.0,78
1551,80,Residential(MD),75,6000,Iowa DOT and Rail Road,Single-family Detached,SLvl,5,5,1967,1967,624.0,1092,564,1656,3,7,7,2008,WD ,126000,2280.0,55
1049,120,Residential(LD),24,2529,Northpark Villa,Townhouse Inside Unit,1Story,7,6,1977,1977,1055.0,1055,0,1055,2,4,9,2008,WD ,148500,2110.0,70
657,60,Residential(LD),60,10800,Old Town,Single-family Detached,2Story,5,7,1939,2006,676.0,676,676,1352,4,7,8,2009,WD ,149000,2028.0,73
414,160,Residential(LD),24,2349,Northpark Villa,Townhouse Inside Unit,2Story,6,5,1977,1977,855.0,855,601,1456,3,6,5,2009,WD ,137900,2311.0,59
1181,120,Residential(LD),32,10846,Veenker,Townhouse End Unit,1Story,8,5,1993,1993,1719.0,1719,0,1719,1,6,5,2008,Con,324000,3438.0,94
1514,30,Residential(LD),67,5604,Edwards,Single-family Detached,1Story,5,6,1925,1950,864.0,864,0,864,2,5,4,2008,WD ,98000,1728.0,56
1040,160,Residential(MD),21,1680,Briardale,Townhouse Inside Unit,2Story,6,5,1973,1973,483.0,483,504,987,2,5,2,2008,WD ,103400,1470.0,70
216,50,Residential(LD),54,6342,Sawyer,Single-family Detached,1.5Fin,5,8,1875,1996,780.0,780,240,1020,2,6,5,2010,WD ,94000,1800.0,52
1720,120,Residential(LD),34,4590,Northridge Heights,Townhouse Inside Unit,1Story,8,5,2006,2006,1554.0,1554,0,1554,2,6,8,2007,WD ,209500,3108.0,67
2331,60,Residential(LD),60,18062,Stone Brook,Single-family Detached,2Story,10,5,2006,2006,1528.0,1528,1862,3390,5,10,9,2006,New,545224,4918.0,110
204,70,Residential(MD),60,12900,Old Town,Single-family Detached,2Story,6,8,1912,2009,780.0,780,780,1560,3,7,5,2010,WD ,159900,2340.0,68
19,20,Residential(LD),140,19138,Gilbert,Single-family Detached,1Story,4,5,1951,1951,864.0,864,0,864,2,4,6,2010,WD ,141000,1728.0,81
2438,60,Residential(LD),64,8658,Gilbert,Single-family Detached,2Story,6,5,2000,2000,982.0,1008,881,1889,3,9,4,2006,WD ,215000,2871.0,74
89,20,Residential(LD),61,6897,Sawyer,Single-family Detached,1Story,5,8,1962,2010,1040.0,1040,0,1040,3,6,4,2010,WD ,127000,2080.0,61
240,20,Residential(LD),75,9525,Edwards,Single-family Detached,1Story,5,7,1954,1998,1172.0,1172,0,1172,3,5,6,2010,WD ,128000,2344.0,54
105,20,Floating Village,57,12853,Somerset,Single-family Detached,1Story,8,5,2010,2010,1642.0,1418,0,1418,1,6,4,2010,New,267916,3060.0,87
2020,50,Residential(MD),52,6240,Brookside,Single-family Detached,1.5Fin,6,6,1931,1950,884.0,959,408,1367,3,6,11,2007,WD ,127500,2251.0,56
888,85,Residential(LD),64,7301,Edwards,Single-family Detached,SFoyer,7,5,2003,2003,0.0,495,1427,1922,4,7,7,2009,ConLD,198500,1922.0,103
1019,20,Residential(LD),78,12090,Northwest Ames,Single-family Detached,1Story,6,6,1981,1981,1422.0,1422,0,1422,3,7,6,2008,WD ,175500,2844.0,61
2132,60,Residential(LD),64,8826,College Creek,Single-family Detached,2Story,7,5,2000,2000,985.0,985,857,1842,3,7,7,2007,WD ,217500,2827.0,76
203,50,Residential(MD),57,8094,Old Town,Single-family Detached,1.5Fin,4,5,1915,1950,888.0,888,1074,1962,4,9,6,2010,WD ,149500,2850.0,52
420,20,Residential(LD),70,10710,North Ames,Single-family Detached,1Story,5,7,1966,2004,864.0,1120,0,1120,3,5,7,2009,WD ,148800,1984.0,75
2333,60,Residential(LD),85,16056,Stone Brook,Single-family Detached,2Story,9,5,2005,2006,1992.0,1992,876,2868,4,11,7,2006,New,556581,4860.0,114
632,20,Residential(LD),70,8400,North Ames,Single-family Detached,1Story,6,3,1957,1957,1478.0,1478,0,1478,3,6,6,2009,WD ,156500,2956.0,52
2800,60,Residential(LD),90,11250,College Creek,Single-family Detached,2Story,7,5,1995,1996,930.0,950,1045,1995,4,8,7,2006,WD ,237000,2925.0,81
1885,20,Residential(LD),70,7535,North Ames,Single-family Detached,1Story,5,7,1958,1985,912.0,912,0,912,2,5,6,2007,WD ,120000,1824.0,65
1734,20,Residential(LD),88,12216,Gilbert,Single-family Detached,1Story,6,5,2005,2005,1326.0,1326,0,1326,3,6,6,2007,WD ,203000,2652.0,76
2327,120,Residential(LD),30,3701,Stone Brook,Townhouse End Unit,1Story,8,5,1987,1987,1191.0,1204,0,1204,2,5,8,2006,WD ,130000,2395.0,54
1282,60,Residential(LD),80,9760,North Ames,Single-family Detached,2Story,6,6,1964,1964,780.0,798,813,1611,4,7,6,2008,WD ,167900,2391.0,70
2688,190,Residential(LD),60,9873,Brookside,Two-family_Conversion,1Story,4,5,1970,1970,960.0,960,0,960,3,6,5,2006,WD ,129000,1920.0,67
2581,20,Residential(LD),72,10011,North Ames,Single-family Detached,1Story,5,6,1957,1996,1070.0,1236,0,1236,2,6,5,2006,WD ,134450,2306.0,58
2067,30,Residential(LD),106,25339,Sawyer,Single-family Detached,1Story,5,7,1918,2007,816.0,1416,0,1416,3,7,8,2007,WD ,112000,2232.0,50
2115,60,Residential(LD),64,8883,Sawyer West,Single-family Detached,2Story,7,5,1988,1988,929.0,946,927,1873,3,7,5,2007,WD ,207000,2802.0,73
754,90,Residential(MD),50,3000,Old Town,Duplex,2Story,5,1,1922,1950,1040.0,1088,1040,2128,4,11,9,2009,WD ,62500,3168.0,19
1079,160,Residential(LD),36,2448,Northridge Heights,Townhouse Inside Unit,2Story,7,5,2003,2004,764.0,764,862,1626,2,6,10,2008,WD ,154000,2390.0,64
2615,20,Residential(LD),73,7100,North Ames,Single-family Detached,1Story,5,7,1957,1957,816.0,816,0,816,2,5,7,2006,WD ,129900,1632.0,79
329,160,Residential(MD),36,2592,Meadow Village,Townhouse End Unit,2Story,5,3,1976,1976,536.0,536,576,1112,3,4,4,2010,WD ,85000,1648.0,51
1320,50,Residential(MD),52,5700,Old Town,Single-family Detached,1.5Fin,7,7,1926,1950,572.0,572,539,1111,2,5,8,2008,WD ,116900,1683.0,69
416,160,Residential(LD),24,2289,Northpark Villa,Townhouse Inside Unit,2Story,6,6,1978,1978,855.0,855,586,1441,3,7,4,2009,WD ,148500,2296.0,64
284,190,Residential(LD),60,12180,Edwards,Two-family_Conversion,1.5Fin,4,4,1941,1950,672.0,672,252,924,2,5,7,2010,WD ,80000,1596.0,50
1385,85,Residential(LD),63,7400,Sawyer,Single-family Detached,SFoyer,5,5,1984,1984,1060.0,1126,0,1126,2,5,3,2008,WD ,152000,2186.0,69
